Unicode,char
U+0031,1
U+0032,2
U+0034,4
U+0036,6
U+0039,9
U+003F,?
U+2000B,𠀋
U+20D45,𠵅
U+2123D,𡈽
U+22999,𢦙
U+22CE3,𢳣
U+231C3,𣇃
U+2324A,𣉊
U+233D0,𣏐
U+23D0E,𣴎
U+241C6,𤇆
U+242CE,𤋎
U+2437D,𤍽
U+24E30,𩹵
U+24E60,𤹠
U+24FA3,𤾣
U+2564A,𩹵
U+25750,𥝐
U+25877,𥡷
U+25A0,■
U+25A1,□
U+25B2,▲
U+25B3,△
U+25CB,○
U+25CF,●
U+25DA1,𥶡
U+25E2E,𥸮
U+25EF,◯
U+25FFB,𥿻
U+264B3,𦒳
U+266B0,𦚰
U+27752,𧝒
U+28263,𩹵
U+29780,𩞀
U+29DDA,𩷚
U+29E75,𩹵
U+3002,。
U+3005,々
U+3006,〆
U+3007,0
U+300C,「
U+300D,」
U+3031,〱
U+3032,〲
U+303B,〻
U+303D,〽
U+3042,あ
U+3044,い
U+3046,う
U+3048,え
U+304A,お
U+304B,か
U+304C,が
U+304D,き
U+304E,ぎ
U+304F,く
U+3050,ぐ
U+3051,け
U+3052,げ
U+3053,こ
U+3054,ご
U+3055,さ
U+3056,ざ
U+3057,し
U+3058,じ
U+3059,す
U+305A,ず
U+305B,せ
U+305C,ぜ
U+305D,そ
U+305E,ぞ
U+305F,た
U+3060,だ
U+3061,ち
U+3062,ぢ
U+3063,っ
U+3064,つ
U+3065,づ
U+3066,て
U+3067,で
U+3068,と
U+3069,ど
U+306A,な
U+306B,に
U+306C,ぬ
U+306D,ね
U+306E,の
U+306F,は
U+3070,ば
U+3071,ぱ
U+3072,ひ
U+3073,び
U+3074,ぴ
U+3075,ふ
U+3076,ぶ
U+3077,ぷ
U+3078,へ
U+3079,べ
U+307A,ぺ
U+307B,ほ
U+307C,ぼ
U+307D,ぽ
U+307E,ま
U+307F,み
U+3080,む
U+3081,め
U+3082,も
U+3083,ゃ
U+3084,や
U+3085,ゅ
U+3086,ゆ
U+3087,ょ
U+3088,よ
U+3089,ら
U+308A,り
U+308B,る
U+308C,れ
U+308D,ろ
U+308F,わ
U+3090,ゐ
U+3091,ゑ
U+3092,を
U+3093,ん
U+309D,ゝ
U+309E,ゞ
U+309F,ゟ
U+30A1,ァ
U+30A2,ア
U+30A3,ィ
U+30A4,イ
U+30A6,ウ
U+30A8,エ
U+30AA,オ
U+30AB,カ
U+30AC,ガ
U+30AD,キ
U+30AE,ギ
U+30AF,ク
U+30B0,グ
U+30B1,ケ
U+30B2,ゲ
U+30B3,コ
U+30B4,ゴ
U+30B5,サ
U+30B6,ザ
U+30B7,シ
U+30B8,ジ
U+30B9,ス
U+30BA,ズ
U+30BB,セ
U+30BC,ゼ
U+30BD,ソ
U+30BF,タ
U+30C0,ダ
U+30C1,チ
U+30C2,ヂ
U+30C3,ッ
U+30C4,ツ
U+30C5,ヅ
U+30C6,テ
U+30C7,デ
U+30C8,ト
U+30C9,ド
U+30CA,ナ
U+30CB,ニ
U+30CC,ヌ
U+30CD,ネ
U+30CE,ノ
U+30CF,ハ
U+30D0,バ
U+30D1,パ
U+30D2,ヒ
U+30D3,ビ
U+30D4,ピ
U+30D5,フ
U+30D6,ブ
U+30D7,プ
U+30D8,ヘ
U+30D9,ベ
U+30DA,ペ
U+30DB,ホ
U+30DC,ボ
U+30DD,ポ
U+30DE,マ
U+30DF,ミ
U+30E0,ム
U+30E1,メ
U+30E2,モ
U+30E4,ヤ
U+30E6,ユ
U+30E7,ョ
U+30E8,ヨ
